Mosquito Count, Egg Count, Total Count
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
300,0,300
119,0,119
119,0,119
119,0,119
119,0,119
119,0,119
119,0,119
119,0,119
119,0,119
119,0,119
119,30,149
119,30,149
118,30,148
116,30,146
115,30,145
115,30,145
115,30,145
115,30,145
115,30,145
115,30,145
114,30,144
113,60,173
111,60,171
110,60,170
109,60,169
108,60,168
107,90,197
107,90,197
107,90,197
107,90,197
106,90,196
104,90,194
104,120,224
103,120,223
102,120,222
101,120,221
101,120,221
99,120,219
98,150,248
96,150,246
96,150,246
95,150,245
95,150,245
95,150,245
94,150,244
94,150,244
92,150,242
91,150,241
91,150,241
90,180,270
90,180,270
88,180,268
86,180,266
86,180,266
85,180,265
85,180,265
85,180,265
85,180,265
85,180,265
85,180,265
85,180,265
85,180,265
85,180,265
85,180,265
84,180,264
84,180,264
84,180,264
84,180,264
84,180,264
84,180,264
84,180,264
84,180,264
84,180,264
83,180,263
72,180,252
49,180,229
38,180,218
37,180,217
37,180,217
37,180,217
37,180,217
37,180,217
37,180,217
37,180,217
37,180,217
37,180,217
37,180,217
37,180,217
36,180,216
34,180,214
34,180,214
33,180,213
33,180,213
33,180,213
33,180,213
33,180,213
33,180,213
33,180,213
62,150,212
61,150,211
61,150,211
61,150,211
61,150,211
61,150,211
61,150,211
61,150,211
61,150,211
61,150,211
61,150,211
90,120,210
90,120,210
90,120,210
90,147,237
90,147,237
120,117,237
120,117,237
120,117,237
120,117,237
120,117,237
150,87,237
150,147,297
149,177,326
149,207,356
149,207,356
149,207,356
149,207,356
179,177,356
